measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Male,All ages,Ischemic heart disease,Number,1990,2804950.129472781,2921926.6182030556,2673799.0369028547
Deaths,Global,Female,All ages,Ischemic heart disease,Number,1990,2562186.45134613,2702952.8236956596,2357409.8709369707
Deaths,Global,Both,All ages,Ischemic heart disease,Number,1990,5367136.580818906,5562773.874166459,5076403.863905203
Deaths,Global,Male,All ages,Ischemic heart disease,Rate,1990,104.43851547366671,108.79397644958375,99.55528233991865
Deaths,Global,Female,All ages,Ischemic heart disease,Rate,1990,96.76367696118038,102.07986765989807,89.03007316138003
Deaths,Global,Both,All ages,Ischemic heart disease,Rate,1990,100.62833748287596,104.29633722217261,95.17739553005494
Deaths,Global,Male,Age-standardized,Ischemic heart disease,Rate,1990,187.66126741575948,195.3539467050362,177.7657261465695
Deaths,Global,Female,Age-standardized,Ischemic heart disease,Rate,1990,134.49898811575957,142.2340370009625,122.45808456578006
Deaths,Global,Both,Age-standardized,Ischemic heart disease,Rate,1990,158.9001959510463,165.2955571731983,148.1407557163844
Deaths,Middle SDI,Male,All ages,Diabetes mellitus type 2,Number,1991,81592.93140982292,86974.0448725377,76570.71087486387
Deaths,Middle SDI,Female,All ages,Diabetes mellitus type 2,Number,1991,105988.25289939642,113222.37366786783,99079.52370946891
Deaths,Middle SDI,Both,All ages,Diabetes mellitus type 2,Number,1991,187581.1843092193,197299.5241121459,177524.64872300814
Deaths,Middle SDI,Male,All ages,Diabetes mellitus type 2,Rate,1991,9.14222158765132,9.745157783402579,8.579498172775692
Deaths,Middle SDI,Female,All ages,Diabetes mellitus type 2,Rate,1991,12.32452959222952,13.165727866998857,11.521168511952236
Deaths,Middle SDI,Both,All ages,Diabetes mellitus type 2,Rate,1991,10.703861078958925,11.258414349062832,10.130009494393986
Deaths,Middle SDI,Male,Age-standardized,Diabetes mellitus type 2,Rate,1991,18.860082759657892,20.153379833220296,17.564847609535075
Deaths,Middle SDI,Female,Age-standardized,Diabetes mellitus type 2,Rate,1991,21.860084201445886,23.360459528251155,20.280471437589878
Deaths,Middle SDI,Both,Age-standardized,Diabetes mellitus type 2,Rate,1991,20.481359547670085,21.60386560603595,19.15361938271711
Deaths,Global,Male,All ages,Ischemic heart disease,Number,1992,2928519.9369281866,3036741.71848879,2809679.203882379
Deaths,Global,Female,All ages,Ischemic heart disease,Number,1992,2647461.063000941,2782234.5327197565,2442595.4853025624
Deaths,Global,Both,All ages,Ischemic heart disease,Number,1992,5575980.999929127,5782569.211272351,5296293.496843348
Deaths,Global,Male,All ages,Ischemic heart disease,Rate,1992,105.71733982371553,109.62406373339496,101.42727985114067
Deaths,Global,Female,All ages,Ischemic heart disease,Rate,1992,97.08092660863788,102.02299488129947,89.5686196700692
Deaths,Global,Both,All ages,Ischemic heart disease,Rate,1992,101.43297012397004,105.19102738230869,96.34515971986217
Deaths,Global,Male,Age-standardized,Ischemic heart disease,Rate,1992,184.9024266185919,192.21662771922547,175.70814775119288
Deaths,Global,Female,Age-standardized,Ischemic heart disease,Rate,1992,131.4573902433922,138.45372448553314,120.28707943247193
Deaths,Global,Both,Age-standardized,Ischemic heart disease,Rate,1992,156.08194596272867,162.65673929970978,146.14476044545998
Deaths,Sub-Saharan Africa,Male,All ages,Ischemic heart disease,Number,1990,85447.4233626216,96951.21770516499,74164.15047734775
Deaths,Sub-Saharan Africa,Female,All ages,Ischemic heart disease,Number,1990,74831.79535341986,86982.7402562664,64056.00843583114
Deaths,Sub-Saharan Africa,Both,All ages,Ischemic heart disease,Number,1990,160279.21871604162,178539.64669458853,144179.78364832833
Deaths,Sub-Saharan Africa,Male,All ages,Ischemic heart disease,Rate,1990,35.120675391526305,39.84897509883003,30.48301460828655
Deaths,Sub-Saharan Africa,Female,All ages,Ischemic heart disease,Rate,1990,30.165857647107178,35.06409204715033,25.821970765116358
Deaths,Sub-Saharan Africa,Both,All ages,Ischemic heart disease,Rate,1990,32.619210561221806,36.335479893838915,29.34273550352369
Deaths,Sub-Saharan Africa,Male,Age-standardized,Ischemic heart disease,Rate,1990,99.29903070811531,112.85193182014578,86.38682992946732
Deaths,Sub-Saharan Africa,Female,Age-standardized,Ischemic heart disease,Rate,1990,86.21608187423048,100.31991910930168,73.76354926572684
Deaths,Sub-Saharan Africa,Both,Age-standardized,Ischemic heart disease,Rate,1990,92.95717585339526,103.10422622128337,82.90352632207718
Deaths,High-income,Male,All ages,Diabetes mellitus type 2,Number,1990,66156.96290018848,67745.6871786816,63280.807602631845
Deaths,High-income,Female,All ages,Diabetes mellitus type 2,Number,1990,95949.72509048501,100774.6383395008,86664.29641309944
Deaths,High-income,Both,All ages,Diabetes mellitus type 2,Number,1990,162106.68799067356,168290.69012551336,150024.91448186192
